DATAFLOW,MEASURE,DATA_ITEM,EXP_IMP,TSEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1988-Q1,8187,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1988-Q2,7795,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1988-Q3,8375,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1988-Q4,8791,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1989-Q1,7921,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1989-Q2,8640,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1989-Q3,8520,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1989-Q4,8317,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1990-Q1,8081,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1990-Q2,8631,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1990-Q3,9710,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1990-Q4,10146,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1991-Q1,8855,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1991-Q2,9914,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1991-Q3,9768,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1991-Q4,10121,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1992-Q1,9050,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1992-Q2,9832,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1992-Q3,9469,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1992-Q4,10219,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1993-Q1,8953,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1993-Q2,10354,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1993-Q3,10492,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1993-Q4,10359,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1994-Q1,9591,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1994-Q2,11465,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1994-Q3,10596,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1994-Q4,11409,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1995-Q1,10700,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1995-Q2,11531,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1995-Q3,11505,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1995-Q4,11844,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1996-Q1,11490,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1996-Q2,12142,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,1996-Q3,12048,AUD,6,,
