DATAFLOW,MEASURE,INDEX,SECTOR,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,BASE_PERIOD,OBS_STATUS,OBS_COMMENT
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2024-Q3,153.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2024-Q2,151.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2024-Q1,150.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2023-Q4,149.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1998-Q2,68.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1998-Q1,67.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1997-Q4,67.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2001-Q4,72,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2001-Q3,71.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,B,10,AUS,Q,2001-Q2,70.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2002-Q1,76.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2001-Q4,76.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2001-Q3,75.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2001-Q2,75,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2001-Q1,74.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2000-Q4,73.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2000-Q3,73.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2000-Q2,72.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2000-Q1,71.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1999-Q4,71.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1999-Q3,71,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2011-Q4,110.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1999-Q1,70,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1998-Q4,69.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,1998-Q3,68.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2010-Q1,103.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,10,AUS,Q,2009-Q4,102.7,IN,,,
