DATAFLOW,MEASURE,ASGS_2016,LABOURACCT_IND,TSEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT,DECIMALS
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1994-Q3,79.260602628877,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1994-Q4,80.917822812439,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1995-Q1,85.824090647391,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1995-Q2,88.818205062453,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1995-Q3,93.041879360095,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1995-Q4,97.321452987101,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1996-Q1,95.760170644292,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1996-Q2,95.061556953181,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1996-Q3,95.277410434456,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1996-Q4,96.769365610469,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1997-Q1,97.87182265436,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1997-Q2,99.625501461346,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1997-Q3,96.831170036441,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1997-Q4,98.297415338592,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1998-Q1,94.364501794862,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1998-Q2,94.826690258549,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1998-Q3,91.211473848054,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1998-Q4,84.013022887486,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1999-Q1,87.073250507004,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1999-Q2,85.155690927287,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1999-Q3,83.814161105587,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,1999-Q4,77.787727003204,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2000-Q1,77.18380752001,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2000-Q2,78.435024815203,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2000-Q3,76.311739576771,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2000-Q4,77.907262084636,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2001-Q1,78.075659996416,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2001-Q2,78.9982287309,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2001-Q3,78.561718293915,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2001-Q4,80.286900920204,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2002-Q1,79.078700177691,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2002-Q2,78.52068662666,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2002-Q3,79.466615091092,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2002-Q4,80.687723052942,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2003-Q1,79.596705455234,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2003-Q2,79.139458969443,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2003-Q3,82.41237812795,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2003-Q4,82.141544215128,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2004-Q1,78.110926855475,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,10,Q,2004-Q2,77.606084039698,NUM,3,,,1
