DATAFLOW,MEASURE,ASGS_2016,LABOURACCT_IND,TSEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT,DECIMALS
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1994-Q3,41279.37612934066,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1994-Q4,42394.06484316129,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1995-Q1,45212.1510094384,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1995-Q2,46445.07581752514,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1995-Q3,48688.45085371601,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1995-Q4,51162.32810299603,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1996-Q1,49751.90728711627,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1996-Q2,49388.48045257204,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1996-Q3,50057.5039265285,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1996-Q4,49121.79110621708,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1997-Q1,51781.46739389952,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1997-Q2,51350.03094473617,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1997-Q3,50060.87778979934,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1997-Q4,52537.05881215106,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1998-Q1,50373.77073677524,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1998-Q2,49749.08122324372,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1998-Q3,49798.98656742467,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1998-Q4,42907.51719493646,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1999-Q1,46667.87694196546,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1999-Q2,46274.33553909644,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1999-Q3,44967.39462104616,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,1999-Q4,43505.16603968186,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2000-Q1,39312.39427201255,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2000-Q2,42382.11959627531,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2000-Q3,41498.53942778357,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2000-Q4,42040.14792936735,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2001-Q1,44429.8006707374,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2001-Q2,40661.33229176791,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2001-Q3,42091.85078109519,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2001-Q4,41631.18325404942,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2002-Q1,42455.50135016186,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2002-Q2,42989.25882837768,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2002-Q3,42414.31194849667,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2002-Q4,42813.77846455185,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2003-Q1,42766.76768314245,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2003-Q2,43275.41023488504,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2003-Q3,44502.90656018098,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2003-Q4,43978.00474919695,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2004-Q1,42222.11887802642,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2004-Q2,41716.7366751346,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2004-Q3,41854.60378002846,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2004-Q4,42710.21613450772,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2005-Q1,44748.18388548808,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2005-Q2,48634.83210154138,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2005-Q3,48445.14159747712,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2005-Q4,53282.80011401901,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2006-Q1,56427.14166269609,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2006-Q2,55351.58339603793,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2006-Q3,59390.59883944655,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2006-Q4,58192.90270548857,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2007-Q1,56532.11243058787,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2007-Q2,60021.76380317286,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2007-Q3,60016.07225911963,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2007-Q4,61590.11873598015,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2008-Q1,62966.85914553711,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2008-Q2,64448.91877304265,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2008-Q3,71412.6948084013,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2008-Q4,72019.76333381227,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2009-Q1,74246.39604401433,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2009-Q2,73327.58675443982,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2009-Q3,66341.61436015481,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2009-Q4,72324.7164502538,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2010-Q1,76551.72713884003,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2010-Q2,78414.11810791361,HR,3,,,1
