date,DSR_frac,DSR_gap_pp
1988Q2,0.08717,-2.0817
1988Q3,0.09251,-1.4496
1988Q4,0.09827,-0.7738
1989Q1,0.10736,0.2387
1989Q2,0.11713,1.3253
1989Q3,0.11543,1.2736
1989Q4,0.11475,1.3344
1990Q1,0.11543,1.5425
1990Q2,0.11344,1.4948
1990Q3,0.10815,1.1283
1990Q4,0.10167,0.6516
1991Q1,0.09874,0.536
1991Q2,0.09101,-0.057
1991Q3,0.09022,0.0445
1991Q4,0.08544,-0.2562
1992Q1,0.07832,-0.7972
1992Q2,0.07453,-1.015
1992Q3,0.07242,-1.077
1992Q4,0.07152,-1.0311
1993Q1,0.07103,-0.9609
1993Q2,0.07087,-0.8728
1993Q3,0.06657,-1.2149
1993Q4,0.06668,-1.1324
1994Q1,0.06738,-1.0045
1994Q2,0.06991,-0.7053
1994Q3,0.07367,-0.294
1994Q4,0.08195,0.5637
1995Q1,0.08723,1.1165
1995Q2,0.08707,1.1257
1995Q3,0.08812,1.2572
1995Q4,0.09023,1.4984
1996Q1,0.09139,1.647
1996Q2,0.08741,1.2859
1996Q3,0.08222,0.8058
1996Q4,0.07581,0.2043
1997Q1,0.06787,-0.5528
1997Q2,0.06524,-0.7851
1997Q3,0.06295,-0.9902
1997Q4,0.06524,-0.7468
1998Q1,0.06612,-0.6557
1998Q2,0.06841,-0.4347
1998Q3,0.06902,-0.394
1998Q4,0.06853,-0.4753
1999Q1,0.06918,-0.4541
1999Q2,0.07055,-0.3727
1999Q3,0.07133,-0.3607
1999Q4,0.07514,-0.0557
2000Q1,0.08088,0.4339
2000Q2,0.08962,1.2155
2000Q3,0.09168,1.322
2000Q4,0.0924,1.2895
2001Q1,0.08425,0.3626
2001Q2,0.07843,-0.3404
2001Q3,0.0768,-0.6338
2001Q4,0.07181,-1.2757
2002Q1,0.07254,-1.3579
2002Q2,0.08212,-0.5672
2002Q3,0.08548,-0.4126
2002Q4,0.08751,-0.4009
2003Q1,0.09001,-0.3535
2003Q2,0.09178,-0.3872
2003Q3,0.09323,-0.4611
2003Q4,0.10244,0.2368
2004Q1,0.10379,0.1443
2004Q2,0.10527,0.0649
2004Q3,0.1064,-0.0491
2004Q4,0.10676,-0.2381
2005Q1,0.11119,-0.0144
2005Q2,0.11331,-0.0151
2005Q3,0.11324,-0.2264
2005Q4,0.11514,-0.2292
2006Q1,0.11602,-0.3213
2006Q2,0.12354,0.2665
2006Q3,0.12825,0.5909
2006Q4,0.13259,0.8996
2007Q1,0.13162,0.6999
2007Q2,0.13396,0.8552
2007Q3,0.13678,1.0836
2007Q4,0.14115,1.4925
2008Q1,0.15299,2.6744
2008Q2,0.15543,2.9404
2008Q3,0.15247,2.689
2008Q4,0.10965,-1.5329
2009Q1,0.09303,-3.1224
2009Q2,0.09248,-3.1002
2009Q3,0.09398,-2.8704
2009Q4,0.1091,-1.2791
2010Q1,0.11341,-0.7664
2010Q2,0.1229,0.2656
2010Q3,0.12193,0.2568
2010Q4,0.12799,0.9549
2011Q1,0.12737,0.9918
2011Q2,0.12705,1.0672
2011Q3,0.12573,1.0487
2011Q4,0.11731,0.3276
2012Q1,0.11883,0.6062
2012Q2,0.1103,-0.1158
2012Q3,0.11065,0.0515
2012Q4,0.10478,-0.4015
2013Q1,0.10491,-0.2559
2013Q2,0.10234,-0.3826
2013Q3,0.09784,-0.7061
2013Q4,0.09885,-0.4844
2014Q1,0.09891,-0.3633
2014Q2,0.09956,-0.1892
2014Q3,0.09939,-0.1043
2014Q4,0.09986,0.0394
2015Q1,0.09616,-0.2404
2015Q2,0.09386,-0.3873
2015Q3,0.09413,-0.2825
2015Q4,0.09802,0.178
2016Q1,0.09881,0.3234
2016Q2,0.09616,0.1204
2016Q3,0.09479,0.0406
2016Q4,0.09526,0.1411
2017Q1,0.0962,0.2845
2017Q2,0.09649,0.3588
2017Q3,0.09688,0.4388
2017Q4,0.09735,0.5223
2018Q1,0.09772,0.5903
2018Q2,0.09798,0.6419
2018Q3,0.09924,0.7866
2018Q4,0.10007,0.8787
2019Q1,0.10047,0.917
2019Q2,0.0962,0.4742
2019Q3,0.09159,-0.0202
2019Q4,0.08928,-0.3047
2020Q1,0.08416,-0.8946
2020Q2,0.08308,-1.109
2020Q3,0.08172,-1.3813
2020Q4,0.08141,-1.5823
2021Q1,0.08118,-1.8084
2021Q2,0.0824,-1.9243
2021Q3,0.08299,-2.1369
2021Q4,0.08357,-2.3812
2022Q1,0.08362,-2.7078
2022Q2,0.0975,-1.6748
2022Q3,0.1247,0.6749
2022Q4,0.13822,1.6459
2023Q1,0.14701,2.1425
2023Q2,0.15592,2.6552
2023Q3,0.15549,2.2434
2023Q4,0.15926,2.2636
2024Q1,0.15865,1.859
2024Q2,0.15856,1.5211
2024Q3,0.15707,1.0563
2024Q4,0.15663,0.7083
2025Q1,0.15106,-0.1439
2025Q2,0.14671,-0.8677
2025Q3,0.14131,-1.6927
2025Q4,0.14195,-1.9127
