date,mortgage_rate_ann_pct
1993Q1,9.92
1993Q2,9.5733
1993Q3,9.3
1993Q4,8.75
1994Q1,8.75
1994Q2,8.75
1994Q3,8.85
1994Q4,9.6333
1995Q1,10.56
1995Q2,10.5367
1995Q3,10.49
1995Q4,10.4833
1996Q1,10.48
1996Q2,10.29
1996Q3,9.6033
1996Q4,8.8833
1997Q1,7.7833
1997Q2,7.27
1997Q3,6.8433
1997Q4,6.74
1998Q1,6.74
1998Q2,6.74
1998Q3,6.74
1998Q4,6.6667
1999Q1,6.52
1999Q2,6.52
1999Q3,6.55
1999Q4,6.7
2000Q1,7.1333
2000Q2,7.7167
2000Q3,7.9833
2000Q4,8.07
2001Q1,7.6533
2001Q2,6.82
2001Q3,6.7367
2001Q4,6.2367
2002Q1,6.07
2002Q2,6.32
2002Q3,6.57
2002Q4,6.57
2003Q1,6.57
2003Q2,6.57
2003Q3,6.57
2003Q4,6.82
2004Q1,7.07
2004Q2,7.07
2004Q3,7.07
2004Q4,7.07
2005Q1,7.1533
2005Q2,7.32
2005Q3,7.32
2005Q4,7.32
2006Q1,7.32
2006Q2,7.4867
2006Q3,7.7367
2006Q4,7.9867
2007Q1,8.07
2007Q2,8.07
2007Q3,8.2367
2007Q4,8.4867
2008Q1,9.0167
2008Q2,9.4533
2008Q3,9.5333
2008Q4,7.6367
2009Q1,6.1733
2009Q2,5.7667
2009Q3,5.78
2009Q4,6.3167
2010Q1,6.7233
2010Q2,7.3067
2010Q3,7.39
2010Q4,7.6567
2011Q1,7.79
2011Q2,7.79
2011Q3,7.79
2011Q4,7.5467
2012Q1,7.36
2012Q2,7.09
2012Q3,6.83
2012Q4,6.5733
2013Q1,6.44
2013Q2,6.2667
2013Q3,6.0133
2013Q4,5.93
2014Q1,5.93
2014Q2,5.93
2014Q3,5.93
2014Q4,5.93
2015Q1,5.7567
2015Q2,5.53
2015Q3,5.4567
2015Q4,5.5733
2016Q1,5.63
2016Q2,5.47
2016Q3,5.3033
2016Q4,5.26
2017Q1,5.2667
2017Q2,5.2667
2017Q3,5.22
2017Q4,5.22
2018Q1,5.22
2018Q2,5.22
2018Q3,5.25
2018Q4,5.34
2019Q1,5.37
2019Q2,5.2967
2019Q3,4.94
2019Q4,4.8
2020Q1,4.7067
2020Q2,4.52
2020Q3,4.52
2020Q4,4.52
2021Q1,4.52
2021Q2,4.52
2021Q3,4.52
2021Q4,4.52
2022Q1,4.52
2022Q2,4.8533
2022Q3,6.27
2022Q4,7.27
2023Q1,7.77
2023Q2,8.27
2023Q3,8.52
2023Q4,8.6867
2024Q1,8.77
2024Q2,8.77
2024Q3,8.77
2024Q4,8.77
