date,mining_gfcf_cvm_q,indicator_5625_q,fy,extrapolated
1987-09-01,4381.233,2495.0,1988,0
1987-12-01,4258.419,2424.0,1988,0
1988-03-01,4272.641,2430.0,1988,0
1988-06-01,4038.707,2294.0,1988,0
1988-09-01,3964.398,2248.0,1989,0
1988-12-01,4205.237,2383.0,1989,0
1989-03-01,4356.889,2470.0,1989,0
1989-06-01,4133.475,2347.0,1989,0
1989-09-01,4292.972,2444.0,1990,0
1989-12-01,3986.511,2294.0,1990,0
1990-03-01,3746.005,2196.0,1990,0
1990-06-01,3792.512,2283.0,1990,0
1990-09-01,4128.738,2575.0,1991,0
1990-12-01,3905.973,2482.0,1991,0
1991-03-01,3976.609,2531.0,1991,0
1991-06-01,3883.68,2433.0,1991,0
1991-09-01,3788.57,2299.0,1992,0
1991-12-01,3741.637,2227.0,1992,0
1992-03-01,3574.919,2111.0,1992,0
1992-06-01,4235.875,2508.0,1992,0
1992-09-01,4620.324,2778.0,1993,0
1992-12-01,4491.615,2730.0,1993,0
1993-03-01,4890.583,2991.0,1993,0
1993-06-01,5063.479,3100.0,1993,0
1993-09-01,4757.247,2900.0,1994,0
1993-12-01,4972.799,3003.0,1994,0
1994-03-01,4830.636,2875.0,1994,0
1994-06-01,4866.318,2841.0,1994,0
1994-09-01,5065.115,2888.0,1995,0
1994-12-01,6149.279,3465.0,1995,0
1995-03-01,6151.981,3473.0,1995,0
1995-06-01,5789.625,3320.0,1995,0
1995-09-01,5965.206,3523.0,1996,0
1995-12-01,6001.068,3638.0,1996,0
1996-03-01,6061.997,3758.0,1996,0
1996-06-01,7069.729,4463.0,1996,0
1996-09-01,6601.223,4221.0,1997,0
1996-12-01,6684.635,4324.0,1997,0
1997-03-01,7528.79,4920.0,1997,0
1997-06-01,7118.351,4692.0,1997,0
1997-09-01,7991.811,5305.0,1998,0
1997-12-01,8549.968,5647.0,1998,0
1998-03-01,8711.937,5653.0,1998,0
1998-06-01,9173.284,5778.0,1998,0
1998-09-01,8589.32,5193.0,1999,0
1998-12-01,7522.013,4393.0,1999,0
1999-03-01,7530.733,4270.0,1999,0
1999-06-01,6471.934,3579.0,1999,0
1999-09-01,6933.165,3753.0,2000,0
1999-12-01,4496.048,2399.0,2000,0
2000-03-01,4255.569,2248.0,2000,0
2000-06-01,4647.218,2440.0,2000,0
2000-09-01,4052.928,2124.0,2001,0
2000-12-01,4503.812,2357.0,2001,0
2001-03-01,5662.9,2961.0,2001,0
2001-06-01,5857.36,3062.0,2001,0
2001-09-01,6338.456,3315.0,2002,0
2001-12-01,6181.53,3231.0,2002,0
2002-03-01,6526.889,3406.0,2002,0
2002-06-01,6944.126,3614.0,2002,0
2002-09-01,7244.573,3756.0,2003,0
2002-12-01,7751.878,4015.0,2003,0
2003-03-01,7890.513,4095.0,2003,0
2003-06-01,8416.036,4390.0,2003,0
2003-09-01,8499.305,4471.0,2004,0
2003-12-01,8717.689,4589.0,2004,0
2004-03-01,8019.918,4191.0,2004,0
2004-06-01,7783.088,4009.0,2004,0
2004-09-01,8893.434,4486.0,2005,0
2004-12-01,8413.681,4242.0,2005,0
2005-03-01,8758.788,4500.0,2005,0
2005-06-01,9751.097,5217.0,2005,0
2005-09-01,11439.235,6555.0,2006,0
2005-12-01,12510.114,7549.0,2006,0
2006-03-01,14643.649,9091.0,2006,0
2006-06-01,15461.003,9577.0,2006,0
2006-09-01,13985.201,8371.0,2007,0
2006-12-01,15277.211,8920.0,2007,0
2007-03-01,16523.613,9499.0,2007,0
2007-06-01,18050.975,10314.0,2007,0
2007-09-01,17688.246,10147.0,2008,0
2007-12-01,18275.013,10564.0,2008,0
2008-03-01,19375.247,11330.0,2008,0
2008-06-01,21157.494,12570.0,2008,0
2008-09-01,21866.436,13265.0,2009,0
2008-12-01,23274.246,14375.0,2009,0
2009-03-01,22542.156,14128.0,2009,0
2009-06-01,19514.162,12368.0,2009,0
2009-09-01,18404.969,11760.0,2010,0
2009-12-01,18754.652,12094.0,2010,0
2010-03-01,19501.491,12706.0,2010,0
2010-06-01,20339.888,13406.0,2010,0
2010-09-01,22645.832,15119.0,2011,0
2010-12-01,22059.335,14955.0,2011,0
2011-03-01,23948.608,16529.0,2011,0
2011-06-01,27717.226,19533.0,2011,0
2011-09-01,34646.627,25021.0,2012,0
2011-12-01,35623.488,26105.0,2012,0
2012-03-01,42143.321,31002.0,2012,0
2012-06-01,46954.564,34230.0,2012,0
2012-09-01,47006.15,33491.0,2013,0
2012-12-01,47951.975,33670.0,2013,0
2013-03-01,46084.832,32147.0,2013,0
2013-06-01,46659.043,32578.0,2013,0
2013-09-01,47054.907,33137.0,2014,0
2013-12-01,43731.431,31161.0,2014,0
2014-03-01,39746.011,28746.0,2014,0
2014-06-01,40122.651,29543.0,2014,0
2014-09-01,37174.096,27958.0,2015,0
2014-12-01,34788.909,26422.0,2015,0
2015-03-01,32905.522,24960.0,2015,0
2015-06-01,30052.473,22531.0,2015,0
2015-09-01,26856.276,19721.0,2016,0
2015-12-01,27612.623,19945.0,2016,0
2016-03-01,23382.306,16682.0,2016,0
2016-06-01,20036.794,14167.0,2016,0
2016-09-01,18838.381,13237.0,2017,0
2016-12-01,18537.318,12916.0,2017,0
2017-03-01,18066.575,12456.0,2017,0
2017-06-01,18042.726,12285.0,2017,0
2017-09-01,18160.674,12189.0,2018,0
2017-12-01,17793.778,11874.0,2018,0
2018-03-01,17543.964,11736.0,2018,0
2018-06-01,16707.584,11296.0,2018,0
2018-09-01,15639.151,10774.0,2019,0
2018-12-01,15080.477,10482.0,2019,0
2019-03-01,14668.743,10186.0,2019,0
2019-06-01,15174.629,10427.0,2019,0
2019-09-01,16084.039,10833.0,2020,0
2019-12-01,15904.17,10542.0,2020,0
2020-03-01,16657.544,10907.0,2020,0
2020-06-01,16712.247,10850.0,2020,0
2020-09-01,16532.824,10681.0,2021,0
2020-12-01,16307.214,10511.0,2021,0
2021-03-01,16905.157,10899.0,2021,0
2021-06-01,17094.805,11053.0,2021,0
2021-09-01,17516.582,11389.0,2022,0
2021-12-01,18315.63,11967.0,2022,0
2022-03-01,18538.008,12163.0,2022,0
2022-06-01,18662.779,12287.0,2022,0
2022-09-01,17646.403,11649.0,2023,0
2022-12-01,18093.671,11986.0,2023,0
2023-03-01,18720.394,12455.0,2023,0
2023-06-01,18914.532,12650.0,2023,0
2023-09-01,19928.321,13410.0,2024,0
2023-12-01,19926.796,13458.0,2024,0
2024-03-01,18790.598,12705.0,2024,0
2024-06-01,19233.285,12988.0,2024,0
2024-09-01,18886.646,12707.0,2025,0
2024-12-01,19120.812,12829.0,2025,0
2025-03-01,19475.71,13043.0,2025,0
2025-06-01,19288.832,12906.0,2025,0
2025-09-01,19480.136,13034.0,2026,1
2025-12-01,19323.207,12929.0,2026,1
