=== ALL PARAMETER VALUES ===
Generated: 12-Apr-2026 07:55:17


## E-SAT

| Parameter | Value |
|-----------|-------|
| delta | 0.198900 |
| lambda_q | 0.447900 |
| sigma_q | 0.166300 |
| lambda_i | 0.828100 |
| alpha_i | 0.278700 |
| beta_i | 0.135000 |
| lambda_pi | 0.262900 |
| kappa_pi | 0.058200 |
| lambda_q_us | 0.805700 |
| lambda_pi_us | 0.652900 |
| kappa_pi_us | 0.013100 |
| i_ss | 1.049100 |
| pi_ss_au | 0.625000 |
| pi_ss_us | 0.500000 |

## VA Price PAC

| Parameter | Value |
|-----------|-------|
| b0_pQ | 0.060000 |
| b1_pQ | 0.500000 |
| b2_pQ | 0.090000 |
| omega_pQ | 0.460000 |
| rho_pQ_star | 0.950000 |
| gamma_ulc | 0.120000 |
| gamma_uck | 0.060000 |

## Wage Phillips

| Parameter | Value |
|-----------|-------|
| lambda_w | 0.247000 |
| gamma_w | 0.150000 |
| kappa_w | 0.238000 |
| beta_w | 0.980000 |
| okun_coeff | -0.330000 |
| rho_u_gap | 0.940000 |

## Employment PAC

| Parameter | Value |
|-----------|-------|
| b0_n | 0.040000 |
| b1_n | 0.300000 |
| b2_n | 0.100000 |
| b3_n | 0.050000 |
| b4_n | 0.020000 |
| omega_n | 0.300000 |
| b5_n | 0.120000 |
| rho_n_star | 0.950000 |

## Consumption PAC

| Parameter | Value |
|-----------|-------|
| b0_c | 0.060000 |
| b1_c | 0.149000 |
| omega_c | 0.369000 |
| b2_c | -0.020000 |
| b3_c | 0.139000 |
| rho_c_star | 0.950000 |
| kappa_inc | 0.050000 |
| beta_c | 0.950000 |
| alpha_c_r | -0.950000 |

## Business Inv PAC

| Parameter | Value |
|-----------|-------|
| b0_ib | 0.030000 |
| b1_ib | 0.181000 |
| b2_ib | 0.100000 |
| omega_ib | 0.350000 |
| b3_ib | 0.191000 |
| b4_ib | -0.030000 |
| rho_ib_star | 0.950000 |
| kappa_ib_y | 0.060000 |
| sigma_ces | 0.530000 |
| delta_k | 0.025000 |

## Household Inv PAC

| Parameter | Value |
|-----------|-------|
| b0_ih | 0.049000 |
| b1_ih | 0.210000 |
| b2_ih | 0.080000 |
| omega_ih | 0.300000 |
| b3_ih | 0.120000 |
| b4_ih | -0.050000 |
| rho_ih_star | 0.950000 |
| kappa_mort | 0.048000 |
| kappa_ph | 0.030000 |
| kappa_ih_inc | 0.030000 |

## Financial

| Parameter | Value |
|-----------|-------|
| kappa_10 | 0.970000 |
| tp_ss | 0.300000 |
| rho_tp | 0.980000 |
| rho_s | 0.950000 |
| alpha_s | 0.150000 |
| spread_ss | 0.500000 |
| spread_lh | 0.400000 |

## WACC

| Parameter | Value |
|-----------|-------|
| w_COE | 0.500000 |
| w_LB_firms | 0.300000 |
| w_BBB | 0.200000 |
| s_COE_ss | 0.800000 |
| s_LB_firms_ss | 0.250000 |
| s_BBB_ss | 0.050000 |
| rho_COE | 0.920000 |
| rho_LB_firms | 0.770000 |
| rho_BBB | 0.940000 |

## Trade

| Parameter | Value |
|-----------|-------|
| b0_x | 0.050000 |
| b1_x | 0.300000 |
| b2_x | 0.250000 |
| b3_x | 0.100000 |
| b4_x | 0.150000 |
| b0_m | 0.060000 |
| b1_m | 0.250000 |
| b2_m | 0.300000 |
| b3_m | -0.080000 |

## Deflators

| Parameter | Value |
|-----------|-------|
| rho_pc | 0.400000 |
| alpha_pc | 0.300000 |
| beta_pc_m | 0.100000 |
| gamma_oil | 0.030000 |
| rho_pib | 0.350000 |
| alpha_pib | 0.250000 |
| beta_pib_m | 0.120000 |
| rho_pih | 0.450000 |
| alpha_pih | 0.250000 |
| beta_pih_m | 0.080000 |
| rho_px | 0.300000 |
| alpha_px | 0.200000 |
| beta_px | -0.050000 |
| alpha_pcom | 0.100000 |
| rho_pm | 0.300000 |
| alpha_pm | 0.150000 |
| beta_pm | 0.080000 |
| beta_pm_com | 0.050000 |
| rho_pg | 0.500000 |
| alpha_pg | 0.300000 |

## GDP Weights

| Parameter | Value |
|-----------|-------|
| w_c | 0.550000 |
| w_ib | 0.130000 |
| w_ih | 0.060000 |
| w_g | 0.240000 |
| w_x | 0.250000 |
| w_m | 0.230000 |

## IAD Weights

| Parameter | Value |
|-----------|-------|
| w_iad_c | 0.120000 |
| w_iad_ib | 0.250000 |
| w_iad_ih | 0.150000 |
| w_iad_g | 0.080000 |
| w_iad_x | 0.300000 |

## Other

| Parameter | Value |
|-----------|-------|
| lambda_dom | 0.399000 |
| beta_pac | 0.980000 |
| rho_pcom | 0.850000 |
| alpha_k | 0.330000 |
| rho_tfp | 0.990000 |
| sigma_ces | 0.530000 |
| rho_lh | 0.880000 |
| rho_ph | 0.900000 |
| alpha_ph_y | 0.150000 |
| alpha_ph_r | -0.100000 |
