=== THREE-REGIME IRF COMPARISON TABLES ===
Generated: 12-Apr-2026 12:51:37

#### Table 6.2.1: Output gap and VA price inflation (annualized)

| Quarter | Output (VAR) | Output (Hyb) | Output (MCE) | piQ ann. (VAR) | piQ ann. (Hyb) | piQ ann. (MCE) |
|---------|-------------|-------------|-------------|---------------|---------------|---------------|
| Q1 | -0.000207 | -0.000207 | -0.000207 | -0.000074 | -0.000074 | -0.000074 |
| Q2 | -0.016328 | -0.016328 | -0.014975 | -0.012419 | -0.012419 | -0.005424 |
| Q4 | -0.024399 | -0.024399 | -0.019539 | -0.035453 | -0.035453 | -0.010836 |
| Q8 | -0.016925 | -0.016925 | -0.010524 | -0.033615 | -0.033615 | -0.003844 |
| Q12 | -0.007515 | -0.007515 | -0.004230 | -0.007834 | -0.007834 | 0.002488 |
| Q20 | 0.001195 | 0.001195 | -0.000160 | 0.015904 | 0.015904 | 0.003295 |
| Q40 | 0.001985 | 0.001985 | 0.000513 | 0.004492 | 0.004492 | 0.000215 |

#### Table 6.2.2: Peak IRF comparison

| Variable | Peak (VAR) | Qtr | Peak (Hyb) | Qtr | Peak (MCE) | Qtr |
|----------|-----------|-----|-----------|-----|-----------|-----|
| Output gap | -0.024399 | Q4 | -0.024399 | Q4 | -0.019539 | Q4 |
| CPI inflation | -0.001866 | Q6 | -0.001866 | Q6 | -0.001496 | Q5 |
| Policy rate | +0.081000 | Q1 | +0.081000 | Q1 | +0.081000 | Q1 |
| VA price infl. | -0.010293 | Q6 | -0.010293 | Q6 | -0.002709 | Q4 |
| Consumption | -0.013903 | Q5 | -0.013903 | Q5 | -0.004376 | Q3 |
| Business inv. | -0.029603 | Q5 | -0.029603 | Q5 | -0.006744 | Q4 |
| Housing inv. | -0.037975 | Q5 | -0.037975 | Q5 | -0.006633 | Q3 |
| Employment | -0.018695 | Q7 | -0.018695 | Q7 | -0.003183 | Q4 |
| Wage inflation | +0.003933 | Q28 | +0.003712 | Q3 | +0.003161 | Q3 |
| Exchange rate | -0.044501 | Q9 | -0.044501 | Q9 | -0.044468 | Q9 |
| 10Y yield | +0.009669 | Q11 | +0.011775 | Q1 | +0.011878 | Q1 |
