Posterior mode values:
  param 1: 0.491442
  param 2: 0.079655
  param 3: 0.722419
  param 4: 1.764258
  param 5: 2.757269
  param 6: 0.926931
  param 7: 0.056408
  param 8: 0.133789
  param 9: 0.351994
  param 10: 0.134879
  param 11: 0.026618
  param 12: 0.170634
  param 13: 0.189242
  param 14: 0.042167
  param 15: 0.175211
  param 16: 0.246468
  param 17: 0.239770
  param 18: 0.030107
  param 19: 0.914470
  param 20: 0.960762
  param 21: 0.408486
  param 22: 0.037293
  param 23: 0.050030
  param 24: 0.048058

Log posterior at mode: -1040.9290
